Round,Pick,PlayerId,Player,Position,NFLTeam,FantasyTeam,ManagerName
9,71,2557978,James Conner,RB,PIT,The Labbers,Matthew
9,72,100002,Baltimore Ravens,DEF,,Team Cruz,Alex
10,73,2561000,Derrius Guice,RB,,Team Cruz,Alex
10,74,2555346,Will Fuller,WR,HOU,The Labbers,Matthew
10,75,2560955,Josh Allen,QB,BUF,Beefcakes,Aiden
10,76,2495450,A.J. Green,WR,CIN,The Booty Clappers,Ulises
10,77,2562383,Noah Fant,TE,DEN,Team Justin,Justin
10,78,2560781,Christian Kirk,WR,ARI,Jeanfreau Strange,Luke
10,79,2558149,JuJu Smith-Schuster,WR,PIT,Houston Stars,Sean
10,80,2559947,Phillip Lindsay,RB,DEN,beaners,Howard
11,81,2560813,D.J. Moore,WR,CAR,beaners,Howard
11,82,2556601,Wil Lutz,K,NO,Houston Stars,Sean
11,83,2562721,Deebo Samuel,WR,SF,Jeanfreau Strange,Luke
11,84,2558245,Harrison Butker,K,KC,Team Justin,Justin
11,85,2560765,Kerryon Johnson,RB,DET,The Booty Clappers,Ulises
11,86,2560854,Calvin Ridley,WR,ATL,Beefcakes,Aiden
11,87,2560735,Michael Gallup,WR,DAL,The Labbers,Matthew
11,88,2553833,Josh Lambo,K,JAX,Team Cruz,Alex
12,89,2504775,Drew Brees,QB,NO,Team Cruz,Alex
12,90,2557858,Evan Engram,TE,NYG,The Labbers,Matthew
12,91,100027,Pittsburgh Steelers,DEF,,Beefcakes,Aiden
12,92,2495455,Cam Newton,QB,NE,The Booty Clappers,Ulises
12,93,2555259,Carson Wentz,QB,PHI,Team Justin,Justin
12,94,79860,Matthew Stafford,QB,DET,Jeanfreau Strange,Luke
12,95,100003,Buffalo Bills,DEF,,Houston Stars,Sean
12,96,2558846,Mike Williams,WR,LAC,beaners,Howard
13,97,2555466,Tyler Boyd,WR,CIN,beaners,Howard
13,98,2563965,D'Andre Swift,RB,DET,Houston Stars,Sean
13,99,2495438,Kyle Rudolph,TE,MIN,Jeanfreau Strange,Luke
13,100,100005,Chicago Bears,DEF,,Team Justin,Justin
13,101,2543488,Jarvis Landry,WR,CLE,The Booty Clappers,Ulises
13,102,2553435,David Johnson,RB,HOU,Beefcakes,Aiden
13,103,2562299,Daniel Jones,QB,NYG,The Labbers,Matthew
13,104,2557917,Kareem Hunt,RB,CLE,Team Cruz,Alex
14,105,2543847,John Brown,WR,BUF,Team Cruz,Alex
14,106,100030,Seattle Seahawks,DEF,,The Labbers,Matthew
14,107,2557986,David Njoku,TE,CLE,Beefcakes,Aiden
14,108,2562489,Terry McLaurin,WR,WAS,The Booty Clappers,Ulises
14,109,2560809,Sony Michel,RB,NE,Team Justin,Justin
14,110,2507232,Mason Crosby,K,GB,Jeanfreau Strange,Luke
14,111,2560770,Ronald Jones,RB,TB,Houston Stars,Sean
14,112,100024,New York Jets,DEF,,beaners,Howard
15,113,2564178,Tyler Davis,TE,JAX,beaners,Howard
15,114,2552652,Chris Conley,WR,JAX,Houston Stars,Sean
15,115,2543773,James White,RB,NE,Jeanfreau Strange,Luke
15,116,2506677,Matt Prater,K,DET,Team Justin,Justin
15,117,2560995,Dallas Goedert,TE,PHI,The Booty Clappers,Ulises
15,118,2543498,Brandin Cooks,WR,HOU,Beefcakes,Aiden
15,119,2534797,Greg Zuerlein,K,DAL,The Labbers,Matthew
15,120,100012,Tennessee Titans,DEF,,Team Cruz,Alex
